# name|return_type|param_name:type,param_name:type
ASN1_OBJECT_FLAG_DYNAMIC_DATA|int|void
ASN1_OBJECT_FLAG_DYNAMIC_STRINGS|int|void
ASN1_OBJECT_FLAG_DYNAMIC|int|void
ASN1_OBJECT_create|int|nid:int,data:int,len:int,sn:int,ln:int
ASN1_OBJECT_free|void|a:int
ASN1_OBJECT_new|int|void
ASN1_OCTET_STRING_cmp|int|a:int,b:int
ASN1_OCTET_STRING_dup|int|a:int
ASN1_OCTET_STRING_free|void|a:int
ASN1_OCTET_STRING_new|int|void
ASN1_OCTET_STRING_set|int|str:int,data:int,len:int
ASN1_OP_D2I_POST|int|void
ASN1_OP_D2I_PRE|int|void
ASN1_OP_DETACHED_POST|int|void
ASN1_OP_DETACHED_PRE|int|void
ASN1_OP_FREE_POST|int|void
ASN1_OP_FREE_PRE|int|void
ASN1_OP_I2D_POST|int|void
ASN1_OP_I2D_PRE|int|void
ASN1_OP_NEW_POST|int|void
ASN1_OP_NEW_PRE|int|void
ASN1_OP_PRINT_POST|int|void
ASN1_OP_PRINT_PRE|int|void
ASN1_OP_STREAM_POST|int|void
ASN1_OP_STREAM_PRE|int|void
ASN1_OVERFLOW|int|void
ASN1_OVERRUN|int|void
ASN1_PARSE_ERROR|int|void
ASN1_PCTX_FLAGS_NO_ANY_TYPE|int|void
ASN1_PCTX_FLAGS_NO_FIELD_NAME|int|void
ASN1_PCTX_FLAGS_NO_MSTRING_TYPE|int|void
ASN1_PCTX_FLAGS_NO_STRUCT_NAME|int|void
ASN1_PCTX_FLAGS_SHOW_ABSENT|int|void
ASN1_PCTX_FLAGS_SHOW_FIELD_STRUCT_NAME|int|void
ASN1_PCTX_FLAGS_SHOW_SEQUENCE|int|void
ASN1_PCTX_FLAGS_SHOW_SSOF|int|void
ASN1_PCTX_FLAGS_SHOW_TYPE|int|void
ASN1_PCTX_free|void|p:int
ASN1_PCTX_get_cert_flags|ulong|p:int
ASN1_PCTX_get_flags|ulong|p:int
ASN1_PCTX_get_nm_flags|ulong|p:int
ASN1_PCTX_get_oid_flags|ulong|p:int
ASN1_PCTX_get_str_flags|ulong|p:int
ASN1_PCTX_new|int|void
ASN1_PCTX_set_cert_flags|void|p:int,flags:ulong
ASN1_PCTX_set_flags|void|p:int,flags:ulong
ASN1_PCTX_set_nm_flags|void|p:int,flags:ulong
ASN1_PCTX_set_oid_flags|void|p:int,flags:ulong
ASN1_PCTX_set_str_flags|void|p:int,flags:ulong
ASN1_PKEY_ALIAS|int|void
ASN1_PKEY_CTRL_CMS_ENVELOPE|int|void
ASN1_PKEY_CTRL_CMS_SIGN|int|void
